Region	java	c++	c#	python	JavaScript
Algeria	25	21	0	0	9
Argentina	16	11	8	22	12
Australia	14	14	14	67	16
Austria	21	20	18	43	14
Azerbaijan	27	0	0	0	0
Bahrain	11	0	0	0	0
Bangladesh	47	0	72	0	57
Belarus	54	69	55	0	52
Belgium	15	12	10	37	13
Bolivia	30	30	20	0	18
Bosnia & Herzegovina	15	0	0	0	0
Brazil	22	14	9	22	16
Bulgaria	14	22	11	27	14
Canada	15	17	13	54	15
Chile	19	11	6	16	12
China	23	36	33	42	36
Colombia	23	23	7	11	11
Costa Rica	28	29	28	0	20
Croatia	15	16	11	30	10
Cuba	34	0	0	0	0
Cyprus	17	0	0	0	0
Czech Republic	34	39	28	91	30
Denmark	17	12	21	41	14
Dominican Republic	16	0	0	0	9
Ecuador	24	38	21	0	14
Egypt	15	17	19	0	12
El Salvador	23	0	0	0	0
Estonia	24	0	0	0	25
Ethiopia	51	0	0	0	0
Finland	17	20	9	65	12
France	14	14	6	38	14
Germany	22	26	12	44	14
Ghana	27	0	0	0	0
Greece	21	19	10	37	15
Guatemala	24	39	0	0	0
Honduras	25	0	0	0	0
Hong Kong	38	35	27	47	38
Hungary	22	18	11	32	16
Iceland	12	0	0	0	0
India	100	100	100	61	100
Indonesia	38	21	8	21	25
Iran	18	43	36	0	18
Ireland	15	13	12	44	13
Israel	18	34	43	52	20
Italy	18	14	9	31	14
Jamaica	21	0	0	0	0
Japan	28	31	24	34	31
Jordan	19	42	26	0	19
Kazakhstan	22	0	0	0	0
Kenya	31	0	0	0	0
Kuwait	12	0	0	0	10
Latvia	16	20	11	0	21
Lebanon	23	0	0	0	37
Lithuania	16	19	8	0	11
Luxembourg	21	0	0	0	20
Macedonia (FYROM)	24	0	0	0	0
Malaysia	25	31	16	24	24
Malta	25	0	38	0	0
Mauritius	28	0	0	0	0
Mexico	28	25	11	12	12
Moldova	31	0	0	0	39
Mongolia	48	0	0	0	0
Morocco	25	21	5	0	13
Nepal	41	0	0	0	0
Netherlands	15	11	13	40	19
New Zealand	13	13	20	58	17
Nigeria	30	0	0	0	0
Norway	22	18	19	75	17
Oman	14	0	0	0	0
Pakistan	39	79	68	0	47
Palestine	11	0	0	0	0
Panama	20	0	0	0	13
Paraguay	20	0	0	0	0
Peru	23	14	7	0	9
Philippines	34	43	19	35	31
Poland	26	32	9	36	11
Portugal	18	16	16	38	16
Puerto Rico	13	0	0	0	0
Qatar	12	0	0	0	0
Romania	21	26	16	24	16
Russia	28	59	26	84	29
Saudi Arabia	8	7	5	0	6
Senegal	24	0	0	0	0
Serbia	19	16	18	0	14
Singapore	37	43	29	56	29
Slovakia	27	23	12	33	14
Slovenia	16	24	18	47	13
South Africa	21	21	38	73	22
South Korea	24	59	32	100	32
Spain	17	12	7	24	13
Sri Lanka	80	56	87	0	53
Sudan	24	0	0	0	0
Sweden	19	23	20	61	16
Switzerland	18	20	14	59	15
Syria	15	0	0	0	0
Taiwan	28	63	33	59	36
Thailand	10	12	11	16	14
Trinidad & Tobago	23	0	0	0	0
Tunisia	39	48	18	0	30
Turkey	19	6	8	6	6
Ukraine	24	37	23	48	24
United Arab Emirates	13	10	9	0	13
United Kingdom	14	13	15	46	15
United States	18	21	18	77	19
Uruguay	25	0	0	0	21
Venezuela	16	13	3	0	8
Vietnam	18	29	31	0	19
