Region	java	c++	c#	python	JavaScript
Afghanistan	13	0	0	0	0
Albania	12	20	0	0	8
Algeria	12	12	5	4	5
Angola	16	0	0	0	0
Argentina	13	8	9	6	9
Armenia	10	37	26	0	22
Australia	10	10	17	22	15
Austria	16	18	25	15	14
Azerbaijan	7	9	9	0	4
Bahrain	8	0	0	0	0
Bangladesh	100	29	25	11	20
Belarus	14	36	40	11	24
Belgium	14	11	20	15	15
Benin	41	0	0	0	0
Bolivia	62	16	11	3	6
Bosnia & Herzegovina	16	17	13	4	8
Botswana	36	0	0	0	0
Brazil	27	10	14	6	10
Brunei	11	0	0	0	0
Bulgaria	11	20	24	7	16
Burkina Faso	25	0	0	0	0
Côte d’Ivoire	20	0	0	0	12
Cambodia	14	19	23	0	16
Cameroon	53	0	0	0	25
Canada	15	17	20	23	18
Chile	13	7	12	8	9
China	50	100	100	100	80
Colombia	18	16	11	5	9
Congo (DRC)	27	0	0	0	0
Congo (Republic)	26	0	0	0	0
Costa Rica	22	18	28	10	15
Croatia	14	17	16	14	10
Cuba	61	0	0	0	100
Cyprus	9	15	17	10	10
Czech Republic	17	25	34	19	23
Denmark	27	10	30	16	16
Dominican Republic	13	12	23	5	7
Ecuador	15	20	15	4	7
Egypt	7	17	16	3	6
El Salvador	26	14	22	0	11
Estonia	17	17	18	25	22
Ethiopia	41	87	37	0	13
Finland	12	16	17	20	18
France	14	13	11	18	15
Georgia	8	14	17	0	9
Germany	23	25	26	19	18
Ghana	22	20	0	12	11
Greece	9	12	9	9	9
Guadeloupe	8	0	0	0	0
Guatemala	25	29	17	6	9
Guinea	18	0	0	0	0
Haiti	19	0	0	0	0
Honduras	16	30	18	0	8
Hong Kong	22	23	27	19	26
Hungary	18	19	22	10	14
Iceland	13	42	45	43	32
India	79	55	84	17	44
Indonesia	39	16	7	4	9
Iran	14	27	41	4	10
Iraq	3	7	4	0	2
Ireland	19	10	14	17	13
Israel	14	26	58	25	23
Italy	13	12	11	8	11
Jamaica	11	19	0	0	11
Japan	13	15	21	8	28
Jordan	7	20	18	3	8
Kazakhstan	10	15	8	3	7
Kenya	26	25	12	13	15
Kosovo	11	0	0	0	0
Kuwait	6	0	8	0	5
Kyrgyzstan	10	0	21	0	10
Laos	10	0	0	0	0
Latvia	13	23	18	9	19
Lebanon	10	18	23	6	12
Libya	3	0	0	0	0
Lithuania	13	25	17	7	13
Luxembourg	20	0	19	19	21
Macau	12	0	0	0	0
Macedonia (FYROM)	18	27	27	0	17
Madagascar	82	0	0	0	32
Malawi	30	0	0	0	0
Malaysia	11	18	13	6	9
Mali	21	0	0	0	0
Malta	16	0	40	0	22
Mauritania	17	0	0	0	0
Mauritius	15	0	0	0	16
Mexico	24	19	18	5	9
Moldova	11	24	19	0	17
Mongolia	12	0	29	0	13
Montenegro	11	0	0	0	0
Morocco	16	13	13	6	10
Mozambique	34	0	0	0	0
Myanmar (Burma)	13	0	35	0	16
Namibia	15	0	0	0	0
Nepal	33	37	34	16	28
Netherlands	14	11	21	17	18
New Zealand	10	11	23	20	16
Nicaragua	42	0	28	0	11
Nigeria	29	10	10	8	9
Norway	23	14	21	19	15
Oman	7	15	11	0	5
Pakistan	34	66	42	6	19
Palestine	6	0	0	0	0
Panama	11	13	8	0	7
Paraguay	12	11	0	7	8
Peru	17	13	13	5	8
Philippines	25	38	26	10	20
Poland	19	34	19	12	13
Portugal	18	14	21	12	15
Puerto Rico	8	11	8	8	6
Qatar	8	0	11	7	7
Réunion	8	0	0	12	0
Romania	16	35	21	9	15
Russia	10	33	28	13	18
Rwanda	30	0	0	0	0
Saudi Arabia	6	7	7	2	3
Senegal	14	0	0	0	10
Serbia	18	15	18	7	12
Singapore	22	26	35	24	22
Slovakia	12	16	15	9	13
Slovenia	12	18	24	17	15
South Africa	14	12	28	15	13
South Korea	19	45	50	23	37
Spain	18	10	10	11	14
Sri Lanka	45	25	58	16	26
St. Helena	23	30	44	24	26
Sudan	8	17	0	0	0
Sweden	13	17	29	21	19
Switzerland	16	18	24	21	18
Syria	10	18	25	0	6
Taiwan	16	34	39	14	20
Tajikistan	13	0	0	0	0
Tanzania	19	12	0	0	7
Thailand	8	8	10	3	7
Timor-Leste	53	0	0	0	0
Togo	58	0	0	0	0
Trinidad & Tobago	10	0	0	0	0
Tunisia	20	20	22	8	18
Turkey	14	8	16	3	5
Turkmenistan	20	0	0	0	0
Uganda	40	0	0	0	15
Ukraine	13	27	24	10	20
United Arab Emirates	9	9	15	7	9
United Kingdom	12	11	20	27	16
United States	19	22	26	33	22
Uruguay	15	7	14	7	12
Uzbekistan	26	24	0	0	13
Venezuela	11	10	4	4	6
Vietnam	20	18	25	3	9
Yemen	5	15	17	0	0
Zambia	32	0	0	0	0
Zimbabwe	17	0	0	0	0
