Region	java	c++	c#	python	JavaScript
Algeria	23	0	0	0	0
Argentina	16	11	6	20	14
Australia	15	13	12	68	18
Austria	19	19	14	45	15
Bangladesh	48	0	0	0	0
Belarus	56	0	0	0	0
Belgium	15	11	9	43	16
Bolivia	25	0	0	0	0
Bosnia & Herzegovina	19	0	0	0	0
Brazil	18	15	6	25	17
Bulgaria	19	24	13	0	23
Canada	15	17	11	57	17
Chile	17	11	4	0	13
China	20	31	21	30	20
Colombia	23	27	7	0	15
Costa Rica	29	0	0	0	24
Croatia	16	18	12	0	14
Cyprus	21	0	0	0	0
Czech Republic	31	36	22	97	36
Denmark	15	12	20	46	15
Dominican Republic	19	0	0	0	0
Ecuador	23	37	0	0	17
Egypt	17	18	23	0	13
El Salvador	24	0	0	0	0
Estonia	27	0	0	0	31
Finland	16	18	6	62	12
France	15	15	5	40	17
Germany	21	22	8	41	14
Greece	25	27	9	0	20
Guatemala	25	0	0	0	0
Hong Kong	36	34	22	0	41
Hungary	23	20	10	40	21
Iceland	19	0	0	0	0
India	100	100	80	62	100
Indonesia	33	23	10	0	27
Iran	16	32	24	0	19
Ireland	18	16	13	55	15
Israel	17	28	29	39	20
Italy	19	15	9	34	16
Jamaica	30	0	0	0	0
Japan	23	22	15	26	24
Jordan	23	0	0	0	0
Kenya	26	0	0	0	0
Kuwait	12	0	0	0	0
Latvia	20	28	0	0	29
Lebanon	25	0	0	0	0
Lithuania	21	24	0	0	14
Luxembourg	19	0	0	0	0
Malaysia	30	35	16	0	36
Malta	21	0	0	0	0
Mexico	24	30	8	14	13
Morocco	23	17	0	0	14
Netherlands	15	10	10	45	20
New Zealand	14	13	16	65	18
Nigeria	27	0	0	0	0
Norway	22	20	18	100	21
Pakistan	40	79	64	0	49
Panama	18	0	0	0	0
Peru	16	14	4	0	10
Philippines	30	35	15	0	32
Poland	24	30	7	39	12
Portugal	18	14	14	35	18
Puerto Rico	13	0	0	0	0
Romania	26	29	17	27	21
Russia	29	56	27	94	32
Saudi Arabia	9	0	0	0	6
Serbia	24	0	0	0	18
Singapore	40	46	33	55	37
Slovakia	23	28	11	0	17
Slovenia	21	25	17	0	16
South Africa	24	25	34	88	26
South Korea	19	47	19	81	27
Spain	16	11	5	25	14
Sri Lanka	92	0	100	0	68
Sweden	18	23	17	67	19
Switzerland	17	16	10	47	17
Taiwan	22	42	17	33	27
Thailand	12	12	9	0	17
Tunisia	41	0	0	0	0
Turkey	21	8	7	6	8
Ukraine	29	39	25	0	28
United Arab Emirates	14	0	0	0	16
United Kingdom	13	12	11	48	15
United States	17	19	14	70	19
Uruguay	23	0	0	0	22
Venezuela	16	13	0	0	10
Vietnam	23	34	37	0	32
