Region	java	c++	c#	python	JavaScript
Algeria	22	0	0	0	0
Argentina	15	12	7	0	15
Australia	18	16	16	61	20
Austria	20	19	17	34	17
Bangladesh	55	0	0	0	0
Belarus	45	0	0	0	0
Belgium	18	11	11	32	20
Bolivia	26	0	0	0	0
Brazil	20	18	9	20	19
Bulgaria	23	27	0	0	28
Canada	17	19	15	44	19
Chile	17	13	0	0	15
China	19	28	24	15	19
Colombia	24	35	9	0	18
Costa Rica	33	0	0	0	0
Croatia	19	0	0	0	15
Cyprus	13	0	0	0	0
Czech Republic	33	40	29	78	32
Denmark	18	14	27	41	19
Dominican Republic	21	0	0	0	0
Ecuador	24	48	0	0	0
Egypt	19	28	39	0	17
El Salvador	24	0	0	0	0
Estonia	31	0	0	0	0
Finland	19	21	8	47	14
France	18	18	8	34	20
Germany	22	24	10	32	16
Greece	25	25	0	0	20
Guatemala	25	0	0	0	0
Hong Kong	38	33	27	0	44
Hungary	25	21	13	0	21
India	100	100	100	45	100
Indonesia	35	29	0	0	28
Iran	14	30	28	0	17
Ireland	23	19	23	0	20
Israel	17	30	37	35	20
Italy	22	17	12	29	18
Japan	24	21	17	17	24
Jordan	26	0	0	0	0
Kuwait	14	0	0	0	0
Latvia	22	0	0	0	33
Lithuania	24	28	0	0	17
Luxembourg	20	0	0	0	0
Malaysia	33	39	26	0	44
Mexico	24	36	10	0	16
Morocco	25	22	0	0	17
Netherlands	16	11	13	33	23
New Zealand	16	15	23	55	20
Norway	25	23	26	100	26
Pakistan	42	83	87	0	43
Palestine	10	0	0	0	0
Panama	20	0	0	0	0
Peru	13	16	0	0	10
Philippines	31	35	19	0	33
Poland	27	34	9	32	13
Portugal	23	17	21	29	22
Puerto Rico	14	0	0	0	0
Romania	29	33	25	0	25
Russia	30	56	36	65	31
Saudi Arabia	9	0	0	0	9
Serbia	25	0	0	0	0
Singapore	42	46	41	0	42
Slovakia	27	29	0	0	21
Slovenia	23	29	0	0	19
South Africa	29	32	49	0	33
South Korea	23	49	21	67	32
Spain	18	12	7	19	17
Sri Lanka	94	0	0	0	0
Sweden	19	26	24	52	20
Switzerland	19	17	14	34	19
Taiwan	21	38	18	0	23
Thailand	14	15	13	0	20
Tunisia	40	0	0	0	0
Turkey	22	11	12	0	12
Ukraine	28	44	31	0	27
United Arab Emirates	18	0	0	0	21
United Kingdom	15	13	15	40	18
United States	19	20	20	60	20
Uruguay	20	0	0	0	0
Venezuela	17	15	0	0	12
Vietnam	27	38	59	0	34
