Region	java	c++	c#	python	JavaScript
Argentina	13	14	10	0	17
Australia	22	20	22	64	26
Austria	23	21	19	31	21
Belgium	20	14	17	34	25
Bolivia	25	0	0	0	0
Brazil	21	20	10	19	25
Bulgaria	26	0	0	0	33
Canada	19	22	20	45	23
Chile	17	18	0	0	18
China	20	28	26	12	20
Colombia	24	42	0	0	20
Costa Rica	35	0	0	0	0
Croatia	22	0	0	0	0
Cyprus	14	0	0	0	0
Czech Republic	34	40	40	0	41
Denmark	22	19	38	38	27
Dominican Republic	20	0	0	0	0
Ecuador	24	59	0	0	0
Egypt	18	0	0	0	0
El Salvador	23	0	0	0	0
Estonia	31	0	0	0	0
Finland	25	26	10	48	18
France	22	23	12	38	29
Germany	25	25	14	31	21
Greece	35	37	0	0	27
Hong Kong	43	40	31	0	50
Hungary	28	26	0	0	28
India	96	100	100	34	100
Indonesia	35	29	0	0	35
Iran	15	36	0	0	22
Ireland	31	25	28	0	28
Israel	22	34	48	0	26
Italy	25	20	16	30	23
Japan	30	22	21	15	28
Latvia	27	0	0	0	0
Lithuania	27	31	0	0	0
Luxembourg	26	0	0	0	0
Malaysia	45	48	0	0	55
Mexico	22	41	9	0	20
Morocco	28	0	0	0	0
Netherlands	19	13	16	36	30
New Zealand	17	19	30	54	26
Norway	31	29	43	100	34
Pakistan	44	98	0	0	41
Palestine	13	0	0	0	0
Peru	12	19	0	0	13
Philippines	34	44	0	0	38
Poland	32	41	12	40	19
Portugal	28	20	28	0	27
Romania	29	44	33	0	31
Russia	30	56	40	0	31
Saudi Arabia	11	0	0	0	0
Serbia	23	0	0	0	0
Singapore	52	48	58	0	55
Slovakia	30	0	0	0	0
Slovenia	28	0	0	0	26
South Africa	35	43	76	0	44
South Korea	26	54	28	0	42
Spain	20	14	10	19	22
Sri Lanka	100	0	0	0	0
Sweden	23	30	34	54	27
Switzerland	22	20	19	36	23
Taiwan	25	35	17	0	28
Thailand	19	19	16	0	26
Turkey	25	18	20	0	19
Ukraine	28	45	0	0	29
United Arab Emirates	20	0	0	0	0
United Kingdom	19	16	21	41	22
United States	21	22	26	55	25
Uruguay	22	0	0	0	0
Venezuela	15	16	0	0	14
Vietnam	33	45	0	0	39
